Date Read,My Review,Title,Bookshelves,Author,Publisher,My Rating,Average Rating,Binding,Year Published,Date Added,ISBN,ISBN13,ASIN
,,"Ember: The Tier One Thrillers, Book 8",read audible audiobook literature-and-fiction genre-fiction,Brian Andrews,Blackstone Publishing,,4.8,Audible Audio,2024,2025-09-04,,,B0CV4P8SG8
,,"Sentinel: Armored, Book 2",read audible audiobook literature-and-fiction action-and-adventure,Mark Greaney,Penguin Audio,,4.6,Audible Audio,2024,2025-09-04,,,B0CKKLNGKK
,,Red Sky Mourning: A Thriller,read audible audiobook mystery-thriller-and-suspense thriller-and-suspense,Jack Carr,Simon & Schuster Audio,,4.8,Audible Audio,2024,2025-09-04,,,B0CLGVVKS4
,,Creative Selection: Inside Apple's Design Process During the Golden Age of Steve Jobs,to-read audible audiobook biographies-and-memoirs professionals-and-academics,Ken Kocienda,Macmillan Audio,,4.5,Audible Audio,2018,2025-09-04,,,B07D416JT3
,,"The Taken: Jonathan Quinn, Book 16",read audible audiobook mystery-thriller-and-suspense crime-fiction,Brett Battles,Audible Studios,,4.5,Audible Audio,2024,2025-09-04,,,B0D277S5Z4
,,Aliens: Bishop: A Novel,read audible audiobook literature-and-fiction genre-fiction,T. R. Napper,Blackstone Publishing,,4.4,Audible Audio,2023,2025-09-04,,,B0CC9ZC29X
,,Alien: Inferno's Fall: An Original Novel Based on the Films from 20th Century Studios,read audible audiobook audible-plus literature-and-fiction genre-fiction,Philippa Ballantine,Blackstone Publishing,,3.7,Audible Audio,2022,2025-09-04,,,B0B46M45NW
,,Alien: Colony War,read audible audiobook audible-plus literature-and-fiction genre-fiction,David M. Barnett,Blackstone Publishing,,4.3,Audible Audio,2022,2025-09-04,,,B09TRVN3DH
,,Alien: Covenant Origins: The Official Prequel to the Blockbuster Film,read audible audiobook audible-plus literature-and-fiction genre-fiction,Alan Dean Foster,"Blackstone Audio, Inc.",,4.2,Audible Audio,2017,2025-09-04,,,B0752RX6NJ
,,"Stuart Woods' Smolder: A Stone Barrington Novel, Book 65",read audible audiobook literature-and-fiction action-and-adventure,Brett Battles,Penguin Audio,,4.6,Audible Audio,2024,2025-09-04,,,B0B9P2GSW3
,,Service Model,read audible audiobook science-fiction-and-fantasy science-fiction,Adrian Tchaikovsky,Macmillan Audio,,4.6,Audible Audio,2024,2025-09-04,,,B0CMYKLK4Q
,,One Deadly Eye,to-read audible audiobook mystery-thriller-and-suspense mystery,Randy Wayne White,Harlequin Audio,,4.4,Audible Audio,2024,2025-09-04,,,B0CS1QPTFK
,,Eruption: A Thriller,read audible audiobook literature-and-fiction action-and-adventure,Michael Crichton,"Little, Brown & Company",,4,Audible Audio,2024,2025-09-04,,,B0CKNN1Q99
,,"First Frost: A Walt Longmire Mystery, Book 20",read audible audiobook literature-and-fiction genre-fiction,Craig Johnson,Recorded Books,,4.6,Audible Audio,2024,2025-09-04,,,B0CQTGPNLB
,,"Camino Ghosts: A Novel (Camino, Book 3)",read audible audiobook literature-and-fiction historical-fiction,John Grisham,Random House Audio,,4.2,Audible Audio,2024,2025-09-04,,,B0CKC85Z36
,,The Sirens of Titan,read audible audiobook science-fiction-and-fantasy science-fiction,Kurt Vonnegut,Audible Studios,,4.3,Audible Audio,2009,2025-09-04,,,B002V8L3P0
,,Mount Dragon,read audible audiobook literature-and-fiction genre-fiction,Douglas Preston,Brilliance Audio,,4.1,Audible Audio,2008,2025-09-04,,,B002V1OXJA
,,Oregon,read audible audiobook audible-plus mystery-thriller-and-suspense thriller-and-suspense,Don Winslow,Audible Originals,,4.2,Audible Audio,2024,2025-09-04,,,B0CZVQ76YK
,,Free Billy,read audible audiobook audible-plus literature-and-fiction anthologies-and-short-stories,Don Winslow,Audible Originals,,4.5,Audible Audio,2022,2025-09-04,,,B09RCH3TM2
,,Nobody Walks,read audible audiobook audible-plus literature-and-fiction genre-fiction,Mick Herron,Recorded Books,,4.4,Audible Audio,2015,2025-09-04,,,B00RDN63P8
,,This Is What Happened,read audible audiobook audible-plus mystery-thriller-and-suspense mystery,Mick Herron,Recorded Books,,3.6,Audible Audio,2018,2025-09-04,,,B0779M45B7
,,"Dead Lions: Slough House, Book 2",read audible audiobook audible-plus mystery-thriller-and-suspense mystery,Mick Herron,Recorded Books,,4.7,Audible Audio,2022,2025-09-04,,,B09XN7T3FP
,,The Catch,read audible audiobook audible-plus mystery-thriller-and-suspense mystery,Mick Herron,Recorded Books,,4.5,Audible Audio,2020,2025-09-04,,,1980085803
,,Tom Clancy Act of Defiance,read audible audiobook literature-and-fiction genre-fiction,Brian Andrews,Random House Audio,,4.8,Audible Audio,2024,2025-09-04,,,B0CGS1GWMT
,,"Think Twice: Myron Bolitar, Book 12",read audible audiobook mystery-thriller-and-suspense mystery,Harlan Coben,Grand Central Publishing,,4.6,Audible Audio,2024,2025-09-04,,,B0CKTTN1Z2
,,"The Instruments of Darkness: A Thriller: Charlie Parker, Book 21",read audible audiobook mystery-thriller-and-suspense crime-fiction,John Connolly,Simon & Schuster Audio,,4.7,Audible Audio,2024,2025-09-04,,,B0CP8CM9NF
,,Death and Glory: A Barker & Llewelyn Novel,read audible audiobook mystery-thriller-and-suspense mystery,Will Thomas,Macmillan Audio,,4.6,Audible Audio,2024,2025-09-04,,,B0C3NQ1C8X
,,Extinction: A Novel,read audible audiobook mystery-thriller-and-suspense mystery,Douglas Preston,Macmillan Audio,,4.4,Audible Audio,2024,2025-09-04,,,B0C31S55BF
,,A Calamity of Souls,to-read audible audiobook literature-and-fiction action-and-adventure,David Baldacci,Grand Central Publishing,,4.7,Audible Audio,2024,2025-09-04,,,B0CKNN6LX7
,,Toxic Prey: A Prey Novel,read audible audiobook mystery-thriller-and-suspense crime-fiction,John Sandford,Penguin Audio,,4.5,Audible Audio,2024,2025-09-04,,,B0CFBV1HYT
,,"City in Ruins: A Novel (The Danny Ryan Trilogy, Book 3)",read audible audiobook mystery-thriller-and-suspense mystery,Don Winslow,HarperAudio,,4.8,Audible Audio,2024,2025-09-04,,,B0C92C377S
,,Dietrich,read audible audiobook audible-plus mystery-thriller-and-suspense crime-fiction,Don Winslow,Audible Originals,,4.3,Audible Audio,2024,2025-09-04,,,B0CXF9PN9Q
,,The New Tsar: The Rise and Reign of Vladimir Putin,read audible audiobook biographies-and-memoirs politics-and-activism,Steven Lee Myers,Random House Audio,,4.5,Audible Audio,2015,2025-09-04,,,B015HQBALE
,,All the Light We Cannot See: A Novel,read audible audiobook literature-and-fiction genre-fiction,Anthony Doerr,Simon & Schuster Audio,,4.5,Audible Audio,2014,2025-09-04,,,B00IZGD864
,,A Gentleman in Moscow: A Novel,read audible audiobook literature-and-fiction genre-fiction,Amor Towles,Penguin Audio,,4.7,Audible Audio,2016,2025-09-04,,,B01E08EG84
,,"Hard Power: A Jon Reznick Thriller, Book 12",read audible audiobook literature-and-fiction genre-fiction,J. B. Turner,Brilliance Audio,,4.5,Audible Audio,2024,2025-09-04,,,B0CL114LPP
,,The Secret Hours,read audible audiobook mystery-thriller-and-suspense mystery,Mick Herron,Recorded Books,,4.4,Audible Audio,2023,2025-09-04,,,B0C1TF9MVW
,,"Bad Actors: Slough House, Book 8",read audible audiobook mystery-thriller-and-suspense mystery,Mick Herron,Recorded Books,,4.7,Audible Audio,2022,2025-09-04,,,B09RLRM2BY
,,Slough House,read audible audiobook mystery-thriller-and-suspense mystery,Mick Herron,Recorded Books Inc.,,4.7,Audible Audio,2021,2025-09-04,,,1705028586
,,Joe Country,read audible audiobook audible-plus mystery-thriller-and-suspense mystery,Mick Herron,Recorded Books,,4.7,Audible Audio,2019,2025-09-04,,,1980027080
,,The Marylebone Drop,read audible audiobook audible-plus mystery-thriller-and-suspense mystery,Mick Herron,Recorded Books,,4.4,Audible Audio,2019,2025-09-04,,,1980046611
,,"London Rules: Slough House Series, Book 5",read audible audiobook audible-plus mystery-thriller-and-suspense mystery,Mick Herron,Recorded Books,,4.7,Audible Audio,2018,2025-09-04,,,B07DP69DCH
,,Spook Street,read audible audiobook audible-plus mystery-thriller-and-suspense mystery,Mick Herron,Recorded Books,,4.8,Audible Audio,2017,2025-09-04,,,B01N155R0D
,,Real Tigers,read audible audiobook audible-plus mystery-thriller-and-suspense mystery,Mick Herron,Recorded Books,,4.5,Audible Audio,2016,2025-09-04,,,B01AV4MD3Q
,,The List,read audible audiobook audible-plus mystery-thriller-and-suspense mystery,Mick Herron,Recorded Books,,4.5,Audible Audio,2019,2025-09-04,,,1980046646
,,"Three-Inch Teeth: Joe Pickett, Book 24",read audible audiobook mystery-thriller-and-suspense crime-fiction,C. J. Box,Recorded Books,,4.7,Audible Audio,2024,2025-09-04,,,B0CJLCRC8V
,,Burn Book: A Tech Love Story,read audible audiobook computers-and-technology history-and-culture,Kara Swisher,Simon & Schuster Audio,,4.5,Audible Audio,2024,2025-09-04,,,B0CFYQZSXN
,,Standing by the Wall: The Collected Slough House Novellas,read audible audiobook mystery-thriller-and-suspense mystery,Mick Herron,Recorded Books,,4.6,Audible Audio,2023,2025-09-04,,,B0BS4H3H23
,,"Slow Horses: Slough House, Book 1",read audible audiobook mystery-thriller-and-suspense mystery,Mick Herron,"Blackstone Audio, Inc.",,4.2,Audible Audio,2017,2025-09-04,,,B01MR7DKCP
,,"Tom Clancy Command and Control: A Jack Ryan Novel, Book 23",read audible audiobook literature-and-fiction genre-fiction,Marc Cameron,Random House Audio,,4.7,Audible Audio,2023,2025-09-04,,,B0BXK4QWDS
,,The Third Victim: A Novel,currently-reading audible audiobook mystery-thriller-and-suspense mystery,Phillip Margolin,Macmillan Audio,,4.3,Audible Audio,2018,2025-09-04,,,B078SG2Q85
,,The Gates: A Novel,currently-reading audible audiobook mystery-thriller-and-suspense mystery,John Connolly,Simon & Schuster Audio,,4.3,Audible Audio,2009,2025-09-04,,,B002VA9440
,,Crown Jewel,to-read audible audiobook literature-and-fiction genre-fiction,Christopher Reich,Hachette Audio,,4.6,Audible Audio,2019,2025-09-04,,,1478905093
,,Crimson Phoenix,currently-reading audible audiobook audible-plus mystery-thriller-and-suspense thriller-and-suspense,John Gilstrap,Recorded Books,,4.4,Audible Audio,2021,2025-09-04,,,1705026125
,,The Tourist: A Novel,read audible audiobook audible-plus mystery-thriller-and-suspense mystery,Olen Steinhauer,"Blackstone Audio, Inc.",,4,Audible Audio,2009,2025-09-04,,,B002V0K5YS
,,"Shadow Target: A Jake Keller Thriller, Book 4",read audible audiobook mystery-thriller-and-suspense thriller-and-suspense,David Ricciardi,Penguin Audio,,4.6,Audible Audio,2021,2025-09-04,,,0593347218
,,"The Chaos Agent: Gray Man, Book 13",read audible audiobook mystery-thriller-and-suspense thriller-and-suspense,Mark Greaney,Audible Studios,,4.7,Audible Audio,2024,2025-09-04,,,B0CCG7ZL2F
,,Ice Run: Alex McKnight Mystery #6,read audible audiobook mystery-thriller-and-suspense mystery,Steve Hamilton,Brilliance Audio,,4.3,Audible Audio,2008,2025-09-04,,,B002VAA77S
,,Blood Is the Sky: Alex McKnight #5,read audible audiobook mystery-thriller-and-suspense mystery,Steve Hamilton,Brilliance Audio,,4.3,Audible Audio,2008,2025-09-04,,,B002V0RJJM
,,"Lone Wolf: Orphan X, Book 9",read audible audiobook mystery-thriller-and-suspense thriller-and-suspense,Gregg Hurwitz,Macmillan Audio,,4.7,Audible Audio,2024,2025-09-04,,,B0C3NNGJR1
,,Kingpin,read audible audiobook mystery-thriller-and-suspense thriller-and-suspense,Mike Lawson,Dreamscape Media,,4.6,Audible Audio,2024,2025-09-04,,,B0CQ14QRBC
,,"The Price You Pay: A Peter Ash Novel, Book 8",read audible audiobook literature-and-fiction action-and-adventure,Nick Petrie,Penguin Audio,,4.7,Audible Audio,2024,2025-09-04,,,B0BJ1B9841
,,Time to Hunt,read audible audiobook literature-and-fiction action-and-adventure,Stephen Hunter,Random House Audio,,4.7,Audible Audio,2017,2025-09-04,,,B06XDT9CZ7
,,"Black Light: Bob Lee Swagger, Book 2",read audible audiobook literature-and-fiction genre-fiction,Stephen Hunter,Random House Audio,,4.7,Audible Audio,2017,2025-09-04,,,B06XCPBSKF
,,Dirty White Boys,read audible audiobook literature-and-fiction genre-fiction,Stephen Hunter,"Brilliance Audio ",,4.5,Audible Audio,2010,2025-09-04,,,B003BAA7FE
,,Front Sight: Three Swagger Novellas,read audible audiobook mystery-thriller-and-suspense thriller-and-suspense,Stephen Hunter,Simon & Schuster Audio,,4.5,Audible Audio,2024,2025-09-04,,,B0C877S1YT
,,Dead Man's Hand: A Pike Logan Novel,read audible audiobook literature-and-fiction action-and-adventure,Brad Taylor,HarperAudio,,4.6,Audible Audio,2024,2025-09-04,,,B0C2W3X7TM
,,Hero,read audible audiobook mystery-thriller-and-suspense thriller-and-suspense,Thomas Perry,"HighBridge, a division of Recorded Books",,4.1,Audible Audio,2024,2025-09-04,,,B0CQ8W1RLX
,,"Warning Order: A Search and Destroy Thriller, Book 2",read audible audiobook audible-plus literature-and-fiction action-and-adventure,Joshua Hood,"Blackstone Audio, Inc.",,4.6,Audible Audio,2016,2025-09-04,,,B01H5VA01U
,,Clear by Fire: A Search and Destroy Thriller,read audible audiobook audible-plus literature-and-fiction action-and-adventure,Joshua Hood,"Blackstone Audio, Inc.",,4.3,Audible Audio,2015,2025-09-04,,,B013BNTDCS
,,"The Hunting Wind: The Alex McKnight Series, Book 3",read audible audiobook mystery-thriller-and-suspense crime-fiction,Steve Hamilton,Blackstone Publishing,,4.7,Audible Audio,2023,2025-09-04,,,B0C47PCPRW
,,"The Hank Show: How a House-Painting, Drug-Running DEA Informant Built the Machine That Rules Our Lives",read audible audiobook biographies-and-memoirs professionals-and-academics,McKenzie Funk,Macmillan Audio,,4.7,Audible Audio,2023,2025-09-04,,,B0BVKRG7CD
,,"Hard Exit: A Jon Reznick Thriller, Book 11",read audible audiobook mystery-thriller-and-suspense thriller-and-suspense,J. B. Turner,Brilliance Audio,,4.5,Audible Audio,2023,2025-09-04,,,B0C6YKVFW7
,,"Level Seven: Killday, Book 3",currently-reading audible audiobook audible-plus science-fiction-and-fantasy science-fiction,William Ledbetter,Audible Originals,,4.5,Audible Audio,2023,2025-09-04,,,B0CPMPWR54
,,Manner of Death,currently-reading audible audiobook literature-and-fiction genre-fiction,Robin Cook,Penguin Audio,,4.5,Audible Audio,2023,2025-09-04,,,B0C1Q314YD
,,Poor Charlie’s Almanack: The Essential Wit and Wisdom of Charles T. Munger,read audible audiobook biographies-and-memoirs professionals-and-academics,Charles T. Munger,Stripe Press,,4.7,Audible Audio,2023,2025-09-04,,,B0CMDCLDTP
,,Third Watch: A Tracy Crosswhite Short Story (Tracy Crosswhite),to-read audible audiobook mystery-thriller-and-suspense thriller-and-suspense,Robert Dugoni,Brilliance Audio,,4.6,Audible Audio,2023,2025-09-04,,,B0CLGPKPSQ
,,"Berserker: A Tom Keeler Thriller, Book 5",read audible audiobook literature-and-fiction genre-fiction,Jack Lively,General Projects Limited,,4.5,Audible Audio,2023,2025-09-04,,,B0CP6XN1DH
,,"Winter of the Wolf Moon: The Alex McKnight Series, Book 2",read audible audiobook mystery-thriller-and-suspense mystery,Steve Hamilton,Blackstone Publishing,,4.6,Audible Audio,2023,2025-09-04,,,B0CN7DTDP2
,,"Uppercut: John Milton, Book 22",currently-reading audible audiobook literature-and-fiction action-and-adventure,Mark Dawson,Tantor Audio,,4.4,Audible Audio,2023,2025-09-04,,,B0CNBJNV9H
,,Unnatural Death: A Scarpetta Novel,read audible audiobook mystery-thriller-and-suspense thriller-and-suspense,Patricia Cornwell,Grand Central Publishing,,4.3,Audible Audio,2023,2025-09-04,,,B0BYB1TTQZ
,,Assassin's Mark: A David Slaton Novel,read audible audiobook literature-and-fiction action-and-adventure,Ward Larsen,Macmillan Audio,,4.6,Audible Audio,2023,2025-09-04,,,B0BVKWH64V
,,"My Sister's Grave: Tracy Crosswhite, Book 1",currently-reading audible audiobook mystery-thriller-and-suspense mystery,Robert Dugoni,Brilliance Audio,,4.4,Audible Audio,2014,2025-09-04,,,B00O9GCZOA
,,Horseman: A Tale of Sleepy Hollow,read audible audiobook science-fiction-and-fantasy fantasy,Christina Henry,Penguin Audio,,4.1,Audible Audio,2021,2025-09-04,,,0593456823
,,Lost Boy: The True Story of Captain Hook,read audible audiobook science-fiction-and-fantasy fantasy,Christina Henry,"Recorded Books, Inc.",,4.6,Audible Audio,2017,2025-09-04,,,B072BWCQNH
,,The East Indian: A Novel,currently-reading audible audiobook literature-and-fiction genre-fiction,Brinda Charry,Simon & Schuster Audio,,4.6,Audible Audio,2023,2025-09-04,,,B0BK75ZT25
,,"What She Found: Tracy Crosswhite, Book 9",to-read audible audiobook mystery-thriller-and-suspense mystery,Robert Dugoni,Brilliance Audio,,4.6,Audible Audio,2022,2025-09-04,,,B09M4CW1MY
,,The Last Line: A Short Story (Tracy Crosswhite),to-read audible audiobook literature-and-fiction anthologies-and-short-stories,Robert Dugoni,Amazon Original Stories,,3.9,Audible Audio,2021,2025-09-04,,,B09H3BLBP3
,,"A Steep Price: Tracy Crosswhite, Book 6",to-read audible audiobook mystery-thriller-and-suspense crime-fiction,Robert Dugoni,Brilliance Audio,,4.6,Audible Audio,2018,2025-09-04,,,B07D9TTKK8
,,"Close to Home: Tracy Crosswhite, Book 5",to-read audible audiobook mystery-thriller-and-suspense mystery,Robert Dugoni,Brilliance Audio,,4.6,Audible Audio,2017,2025-09-04,,,B074G6X1YJ
,,"The Trapped Girl: Tracy Crosswhite, Book 4",to-read audible audiobook mystery-thriller-and-suspense mystery,Robert Dugoni,Brilliance Audio,,4.6,Audible Audio,2017,2025-09-04,,,B01N1VCQU8
,,The Academy: A Short Story,read audible audiobook literature-and-fiction anthologies-and-short-stories,Robert Dugoni,Brilliance Audio,,4.5,Audible Audio,2015,2025-09-04,,,B01E69WRYM
,,"In the Clearing: Tracy Crosswhite, Book 3",to-read audible audiobook mystery-thriller-and-suspense mystery,Robert Dugoni,Brilliance Audio,,4.6,Audible Audio,2016,2025-09-04,,,B01E0I8C7U
,,"Her Final Breath: Tracy Crosswhite, Book 2",to-read audible audiobook mystery-thriller-and-suspense mystery,Robert Dugoni,Brilliance Audio,,4.5,Audible Audio,2015,2025-09-04,,,B014X1ECK0
,,"A Cold Trail: Tracy Crosswhite, Book 7",to-read audible audiobook mystery-thriller-and-suspense mystery,Robert Dugoni,Brilliance Audio,,4.6,Audible Audio,2020,2025-09-04,,,1799749843
,,"In Her Tracks: Tracy Crosswhite, Book 8",to-read audible audiobook mystery-thriller-and-suspense mystery,Robert Dugoni,Brilliance Audio,,4.7,Audible Audio,2021,2025-09-04,,,1713547082
,,"The Last Emperox: The Interdependency, Book 3",read audible audiobook science-fiction-and-fantasy science-fiction,John Scalzi,Audible Studios,,4.6,Audible Audio,2020,2025-09-04,,,B084RPCT73
,,"The Consuming Fire: The Interdependency, Book 2",read audible audiobook science-fiction-and-fantasy science-fiction,John Scalzi,Audible Studios,,4.7,Audible Audio,2018,2025-09-04,,,B07HNMVMK8
,,Young Blood: The Complete Trilogy,read audible audiobook science-fiction-and-fantasy science-fiction,Andrew Barrer,Amazon Original Stories,,4.8,Audible Audio,2021,2025-09-04,,,1713614553
,,The Consultant,read audible audiobook literature-and-fiction world-literature,Seong-sun Im,Raven Books,,5,Audible Audio,2023,2025-09-04,,,B0BY35QYD8
,,"Wool: The Silo Saga, Book 1",to-read audible audiobook science-fiction-and-fantasy science-fiction,Hugh Howey,Blackstone Publishing,,4.7,Audible Audio,2023,2025-09-04,,,B0BKR3Y6SP
,,"Middle Falls Time Travel Omnibus: Middle Falls Time Travel, Books 1-3",read audible audiobook science-fiction-and-fantasy science-fiction,Shawn Inmon,Podium Audio,,4.7,Audible Audio,2020,2025-09-04,,,1774244551
,,"System Collapse: The Murderbot Diaries, Book 7",read audible audiobook science-fiction-and-fantasy science-fiction,Martha Wells,Recorded Books,,4.7,Audible Audio,2023,2025-09-04,,,B0C5N9FNB4
,,The Edge,read audible audiobook literature-and-fiction action-and-adventure,David Baldacci,Grand Central Publishing,,4.6,Audible Audio,2023,2025-09-04,,,B0BYBHXDL8
,,"North of Nowhere: The Alex McKnight Series, Book 4",read audible audiobook audible-plus,Steve Hamilton,,,,Audible Audio,,2025-09-04,,,B013TOQXG8
,,The Recital: A Joey Morales (and Orphan X and Tommy Stojack and Candy McClure and Aragón Urrea) Short Story,read audible audiobook mystery-thriller-and-suspense thriller-and-suspense,Gregg Hurwitz,Macmillan Audio,,4.8,Audible Audio,2023,2025-09-04,,,B0CKM723P7
,,Resurrection Walk,read audible audiobook mystery-thriller-and-suspense mystery,Michael Connelly,"Little, Brown & Company",,4.8,Audible Audio,2023,2025-09-04,,,B0BT26TPP1
,,"Sons of Valor III: War Machine: The Sons of Valor, Book 3",read audible audiobook literature-and-fiction action-and-adventure,Brian Andrews,Blackstone Publishing,,4.9,Audible Audio,2023,2025-09-04,,,B0BF17BJDJ
,,"Deus X: August Snow, Book 4",read audible audiobook literature-and-fiction african-american,Stephen Mack Jones,Recorded Books,,4.3,Audible Audio,2023,2025-09-04,,,B0C5NSZC51
,,"Dead of Winter: August Snow, Book 3",read audible audiobook literature-and-fiction african-american,Stephen Mack Jones,Recorded Books Inc.,,4.5,Audible Audio,2021,2025-09-04,,,1705028691
,,"Fugitive Telemetry: Murderbot Diaries, Book 6",read audible audiobook science-fiction-and-fantasy science-fiction,Martha Wells,"Recorded Books, Inc.",,4.7,Audible Audio,2021,2025-09-04,,,1980080631
,,Network Effect,read audible audiobook science-fiction-and-fantasy science-fiction,Martha Wells,Recorded Books,,4.7,Audible Audio,2020,2025-09-04,,,1980021716
,,"Lieberman's Folly: Abe Lieberman Mysteries Series, Book 1",to-read audible audiobook audible-plus mystery-thriller-and-suspense crime-fiction,Stuart M. Kaminsky,"HighBridge, a division of Recorded Books",,4,Audible Audio,2021,2025-09-04,,,1696605490
,,Red Right Hand,read audible audiobook mystery-thriller-and-suspense crime-fiction,Chris Holm,Hachette Audio,,4.4,Audible Audio,2016,2025-09-04,,,B01LDCTOVE
,,The Secret: A Jack Reacher Novel,read audible audiobook literature-and-fiction action-and-adventure,Lee Child,Random House Audio,,4.2,Audible Audio,2023,2025-09-04,,,B0BRQRHHZN
,,Exit Strategy,read audible audiobook audible-plus science-fiction-and-fantasy science-fiction,Martha Wells,Recorded Books,,4.8,Audible Audio,2018,2025-09-04,,,B07FF9TJ2K
,,"Rogue Protocol: The Murderbot Diaries, Book 3",read audible audiobook audible-plus science-fiction-and-fantasy science-fiction,Martha Wells,Recorded Books,,4.7,Audible Audio,2018,2025-09-04,,,B07D9RHRH5
,,Artificial Condition,read audible audiobook audible-plus science-fiction-and-fantasy science-fiction,Martha Wells,Recorded Books,,4.7,Audible Audio,2018,2025-09-04,,,B07BFDDWXN
,,All Systems Red,read audible audiobook audible-plus science-fiction-and-fantasy fantasy,Martha Wells,Recorded Books,,4.5,Audible Audio,2017,2025-09-04,,,B076XSGP65
,,"Obsession: A Teddy Fay Novel, Book 6",read audible audiobook literature-and-fiction action-and-adventure,Stuart Woods,Penguin Audio,,4.6,Audible Audio,2023,2025-09-04,,,B0BJ11CP6F
,,"The Last Guardian: Clayton White, Book 3",read audible audiobook mystery-thriller-and-suspense crime-fiction,Simon Gervais,Brilliance Audio,,4.4,Audible Audio,2023,2025-09-04,,,B0BZ1NYF3W
,,"Blood Lines: Scott Brodie Series, Book 2",read audible audiobook mystery-thriller-and-suspense mystery,Nelson DeMille,Simon & Schuster Audio,,4.6,Audible Audio,2023,2025-09-04,,,B0BW1CPVFL
,,Judgment Prey: A Prey Novel,read audible audiobook mystery-thriller-and-suspense crime-fiction,John Sandford,Penguin Audio,,4.2,Audible Audio,2023,2025-09-04,,,B0BVNJXDRF
,,Going Infinite: The Rise and Fall of a New Tycoon,read audible audiobook biographies-and-memoirs professionals-and-academics,Michael Lewis,Audible Studios,,4.3,Audible Audio,2023,2025-09-04,,,B0CD8BYSTX
,,The Honeymoon Heist: Pike Logan,read audible audiobook literature-and-fiction action-and-adventure,Brad Taylor,HarperAudio,,4.5,Audible Audio,2023,2025-09-04,,,B0C4LZM4MS
,,"One Last Kill: Tracy Crosswhite, Book 10",to-read audible audiobook mystery-thriller-and-suspense mystery,Robert Dugoni,Brilliance Audio,,4.7,Audible Audio,2023,2025-09-04,,,B0BVGHY7L3
,,Wrecker,read audible audiobook childrens-audiobooks literature-and-fiction,Carl Hiaasen,Listening Library,,4,Audible Audio,2023,2025-09-04,,,B0BF66JB9P
,,"Traitors Gate: William Warwick, Book 6",read audible audiobook mystery-thriller-and-suspense mystery,Jeffrey Archer,HarperCollins,,4.5,Audible Audio,2023,2025-09-04,,,B0BWK5K4GZ
,,"The Armor of Light: A Novel (Kingsbridge, Book 5)",read audible audiobook literature-and-fiction historical-fiction,Ken Follett,Penguin Audio,,4.4,Audible Audio,2023,2025-09-04,,,B0BSMM8M6P
,,"Grunt Hero: A Task Force Ombra Novel, Book 3",read audible audiobook audible-plus science-fiction-and-fantasy science-fiction,Weston Ochse,Tantor Audio,,4.7,Audible Audio,2017,2025-09-04,,,B073HPR41Z
,,"Grunt Traitor: Task Force Ombra Series, Book 2",read audible audiobook audible-plus science-fiction-and-fantasy science-fiction,Weston Ochse,Tantor Audio,,4.4,Audible Audio,2017,2025-09-04,,,B071ZZZV2N
,,"Grunt Life: Task Force Ombra Series, Book 1",read audible audiobook audible-plus science-fiction-and-fantasy science-fiction,Weston Ochse,Tantor Audio,,4.1,Audible Audio,2017,2025-09-04,,,B072P1834L
,,Contagious,read audible audiobook literature-and-fiction horror,Scott Sigler,Random House Audio,,4.5,Audible Audio,2008,2025-09-04,,,B002V1ABBY
,,Bleeding Edge,currently-reading audible audiobook literature-and-fiction genre-fiction,Thomas Pynchon,Penguin Audio,,3.4,Audible Audio,2013,2025-09-04,,,B00ELMWOFM
,,Starter Villain,read audible audiobook science-fiction-and-fantasy fantasy,John Scalzi,Audible Studios,,4.6,Audible Audio,2023,2025-09-04,,,B0C6FPMDGV
,,"The Infiltration Game: The Think Tank Series, Book 2",currently-reading audible audiobook literature-and-fiction action-and-adventure,Brian Andrews,Blackstone Publishing,,4.5,Audible Audio,2023,2025-09-04,,,B0BKR6558M
,,"Code Red: A Mitch Rapp Novel by Kyle Mills (A Mitch Rapp Novel, Book 22)",read audible audiobook mystery-thriller-and-suspense thriller-and-suspense,Vince Flynn,Simon & Schuster Audio,,4.1,Audible Audio,2023,2025-09-04,,,B0BW2D2R2S
,,"Alpha Wave: The Sleepers War Series, Book 1",read audible audiobook science-fiction-and-fantasy science-fiction,Weston Ochse,Blackstone Publishing,,4.5,Audible Audio,2023,2025-09-04,,,B0BV3DTKPL
,,The River We Remember: A Novel,read audible audiobook literature-and-fiction historical-fiction,William Kent Krueger,Simon & Schuster Audio,,4.5,Audible Audio,2023,2025-09-04,,,B0BW1ZCYFN
,,"Tom Clancy Weapons Grade: A Jack Ryan Jr. Novel, Book 11",read audible audiobook literature-and-fiction genre-fiction,Don Bentley,Random House Audio,,4.5,Audible Audio,2023,2025-09-04,,,B0BNR26VP8
,,"Not Forever, but for Now",currently-reading audible audiobook literature-and-fiction genre-fiction,Chuck Palahniuk,Simon & Schuster Audio,,3.2,Audible Audio,2023,2025-09-04,,,B0BW1V8M3R
,,Holly,read audible audiobook literature-and-fiction horror,Stephen King,Simon & Schuster Audio,,4.2,Audible Audio,2023,2025-09-04,,,B0BSY3PTSV
,,The Apocalypse Seven: A Novel,read audible audiobook science-fiction-and-fantasy science-fiction,Gene Doucette,Harper Voyager,,4.2,Audible Audio,2021,2025-09-04,,,0358450489
